person_age,person_income,person_monthly_income,person_emp_length,emp_stability,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_OTHER,credit_hist_ratio,debt_burden_index,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
3.091042453358316,9.169622538697624,6.68586094706836,1.791759469228055,0.2151113796169455,1,6.90875477931522,2.4965057856313524,0,0.09531017980432487,0,1.0986122886681098,0,0.1,0.11332868530700317,1,0,1,0,0,0,0
3.258096538021482,9.169622538697624,6.68586094706836,0.6931471805599453,0.039220713153281295,2,8.612685172875459,2.6297282343267403,1,0.4510756193602166,0,1.3862943611198906,0,0.12,0.5007752879124893,0,0,0,0,1,0,0
3.1780538303479458,11.089820688682373,8.605081350586676,1.6094379124341003,0.15700374880966478,2,10.463131911491967,2.7868613815264998,1,0.4252677354043441,0,1.0986122886681098,0,0.09,0.4824261492442927,0,1,0,0,1,0,0
3.2188758248682006,10.904137815028022,8.419432611833093,2.1972245773362196,0.2851789422336624,2,10.463131911491967,2.725890119230541,1,0.4382549309311553,1,1.6094379124341003,0,0.17,0.5538851132264376,0,1,0,0,1,0,0
3.091042453358316,9.200391041122515,6.716594773520978,1.0986122886681098,0.09531017980432487,0,7.824445930877619,2.096790180014449,1,0.22314355131420976,0,1.0986122886681098,0,0.1,0.23901690047049992,1,0,0,0,0,0,1
3.295836866004329,11.252871529635922,8.768107539675803,2.1972245773362196,0.27002713721306015,1,10.463131911491967,2.5967461315435356,1,0.37156355643248307,0,1.3862943611198906,0,0.12,0.412109650826833,0,1,1,0,0,0,0
3.2188758248682006,11.276658679464603,8.791891842843887,1.791759469228055,0.19062035960864973,1,10.463131911491967,2.494031557565001,1,0.3646431135879093,0,1.6094379124341003,0,0.17,0.3987761199573678,0,1,0,0,1,0,0
3.2188758248682006,11.326607934898927,8.84183428671148,2.1972245773362196,0.2851789422336624,0,10.463131911491967,2.2925347571405443,1,0.3506568716131694,0,1.0986122886681098,0,0.08,0.3784364357202451,0,1,0,0,0,1,0
3.091042453358316,9.210440366976517,6.72662900754993,1.9459101490553132,0.2546422183735807,3,7.3783837129967145,2.756205242989257,1,0.1484200051182733,0,1.3862943611198906,0,0.14,0.16551443847757338,1,0,0,0,0,0,1
3.1354942159291497,11.350418300109132,8.865640581668663,1.9459101490553132,0.23901690047049992,1,10.463131911491967,2.4309783077624445,1,0.3435897043900769,0,1.6094379124341003,0,0.18,0.37156355643248307,0,1,0,0,0,0,1
3.091042453358316,9.210440366976517,6.72662900754993,1.0986122886681098,0.09531017980432487,0,8.412054873292933,2.2648832258100344,1,0.37156355643248307,0,1.0986122886681098,0,0.1,0.3987761199573678,1,0,0,1,0,0,0
3.1780538303479458,11.461642696843066,8.976852249606347,1.0986122886681098,0.08617769624105233,0,10.463131911491967,2.186051276738094,1,0.31481073984003355,0,1.0986122886681098,0,0.09,0.33647223662121295,0,1,0,0,0,0,1
3.295836866004329,11.591376136796182,9.10657081229869,1.6094379124341003,0.1397619423751587,4,10.463131911491967,2.9647574692545606,1,0.2776317365982795,0,1.6094379124341003,0,0.15,0.3220834991691133,0,1,1,0,0,0,0
3.1780538303479458,11.652696102959753,9.167884752149762,1.0986122886681098,0.08617769624105233,0,10.463131911491967,2.186051276738094,0,0.262364264467491,0,1.6094379124341003,0,0.17,0.2851789422336624,0,1,1,0,0,0,0
